"Header Form (1)": "0xd",
"Fixed Bit (1)": "0x1",
"Long Packet Type (2)": "0x0",
"Reserved Bits (2)": "0x3",
"Packet Number Length (2)": "0x0",
"Version (32)": "0x00000001",
"Destination Connection ID Length (8)": "0x08",
"Destination Connection ID (0..160)": "0x0303030303030303",
"Source Connection ID Length (8)": "0x08",
"Source Connection ID (0..160)": "0x81a74d9617b49728",
"Length (i)": "0x015a",
"Packet Number (8..32)": "0xef",
"Packet Payload (8..)": "0xe99a3142746d701969e1a91ddd606ce73053fab"
