"Header Form (1)": "0xce",
"Fixed Bit (1)": "0x1",
"Long Packet Type (2)": "0x0",
"Reserved Bits (2)": "0x0",
"Packet Number Length (2)": "0x2",
"Version (32)": "0x00000001",
"Destination Connection ID Length (8)": "0x08",
"Destination Connection ID (0..160)": "0x1d5b0380bd0c3907",
"Source Connection ID Length (8)": "0x08",
"Source Connection ID (0..160)": "0x08347c7b1f4a8345",
"Token Length (i)": "0x00",
"Token (..)": "",
"Length (i)": "0x0044",
"Packet Number (8..32)": "0xe6bafad",
"Packet Payload (8..)": "0xdf5f3ea66b77bbb2586f1bfa8a1a5341a183d6fe3143b50192566a16549dc022d16dcd5d57297f288db0cbb38d9955a0f45103fe9b97e80eeffa7c31f6b84b40bc2d59d969287ed2f4741dc80fd33e8a8af39de7611d964b2b0910f48a40b7fe12f9aea5ab6afa02e00980bee374b668c7f0490635d97cd5a920a18e53cf1b0410777a4ad04e4e0c6c0a5e6723658851bcb9a86562c2ebdfe12e0ceea79a454cc155bd1ec265d6c48d085ae3bc38c679155b3090fdfe3203f5a60754e629002ef2539b34317fb77ef562febaad40577e398819f96a760221be994c3268f44ad839e4c0fdaf69148c512aa5766333a25a98b150e14a6e5af1a554103b3010ec20cd935374bbe15b43c09dbf93db4dc5b8f35d13b5a6a38305fc5980fa766bc9e2a5e0dc2aa8085fe6a1e91cad3e593743c4721fe2d1a995d78766bc979b143c7f5abd07a8ad0c72e622cc8baa0da732bec72a716e12ba0b3b85f382e860ea9e081c960416ca06ca367c0a8b24f10f00697bd0107bae17ced39ab3792ddb37dd13854d3e7c42fffcd98dd31c0b977e03c1f1c9291ee257dba26fd7da4092a5170003e9c620c7d93437e10a829cd01cdd73d8a27a35a4a8a778cfc0a5547eb3ab6a9e4b4709dd050a04707c0e3c28bc22a488b32ad8edf7648a745ebd2aac4dc3d082b57e15ddf60b80da26ea8676229179d234243c2a9b84787d61056d6506e84fe585ce6544eb7406849f09808276a37d996d25a788a3bc3f3a187202ab85f2d2ef63ece1659f40ed6990cf3157e54d95bd265f70d1f44dd36c65c6bce5d5e73a2f71dc11c2c810575f22343c75807ad76daaadd88761b3a476a9befda661b762d6862c3879010748126e64cd87fb3bb8a69e1717833bfc1f88d5dfa9dc3c6e0621495af29df2034d398295ab7e4f90d2259d8923790d412dad33141de5b9843b6583f71779f7a2eb07f0cd9e2dd84b6b96cf614df4401a0545088aa87be7e1bcd3316f0c74b5f4288bdf90f51c4147f51d284a08054aac49d9e17382bc261d80171745b1262206414c00fb0865f49ea15e4d3e8b06faaa355fa9d979c544bcc085adab68b9fd1e5ceff3374d1ac882e73c0aebdb5f5fd86fbbcb8955382428ee8351133b7c2f1950ef72c8977aa82a6aecac009a41db177f324f8bf6c38434c3f4bdf01fc5b7f23944420d754671b44255fb4fd6ae5371f0bb44051de658915734407ac2a79c2713dd72160a7ab53c3edfc41b6c25f1f96e84c5d5d6c92e43d2099cd5cadde46fde98274ab5578fb629753201e29ce50dfb9f682ef09f9cd1f80fb08dc2c36b69a9bc1caf77e01443686cd9a8fe7b6b70b6a28c524616db2956d887c35b44d9c961aa092318956697c5b9da81aa2caffb7e7d2246c962c5c0d0b07289a43f04927aef3d4855e6474b7c8ff27df8c2ba18a798a00d20425fdb915e39888a36b2e644170b55b4fd3749649af45ac032599d677b8b5dbae1ee903df02cf9227163a6dd1a1f9e5f6c2b8e49c1d5e598ee134fd0c7df3f004119a72592ff76c27b534f06b7a42592e804cbd3a24c255c1aa6f7ebc5ccae33dc86bf99789c8a459d14fd1234e60603fdd2df4c53367c35c94fe1db0a55736fc9ccc0569176520cada3007433bcf281d3e96357ed716972eb2767e8358a87129fe919b5ec063e4023787b7b287c3148d263effc22325bfdca1527c898bfb7dbc67b2f49f51a941aeae46ea53674e25b9a904aebaad45f23ad95527b430410a6f853e8a68af2"
