```json
{
  "Initial Packet": {
    "Header Form (1)": "0xc",
    "Fixed Bit (1)": "0x1",
    "Long Packet Type (2)": "0x2",
    "Reserved Bits (2)": "0x0",
    "Packet Number Length (2)": "0x3",
    "Version (32)": "0x00000001",
    "Destination Connection ID Length (8)": "0x08",
    "Destination Connection ID (0..160)": "1d5b0380bd0c3907",
    "Source Connection ID Length (8)": "0x08",
    "Source Connection ID (0..160)": "08e2dfe628b3ad99",
    "Token Length (i)": "0d",
    "Token (..)": "30044e6cba968027b532f5e3dece5ad7d9e37ed9d7e8b0affefa1883a530c08049a4a5c5dbe6011136ab4980a54506d721d86572142bb88f10aa5bb7ae647c0c7840616226259034e2a92967deeb4b44d1d64a7cf493533b6ed1feb37e0a29c29b571300416beba3f65f4365efa7a5f0dd1a2233d1e4d2abbe2b7b5dbc72d1c0358311539c2f536b72735f872b0abd1d2b9c70ee9a946d2a0d93747861080582b5bf78895b10615c52bf12640e078387dbade90b9dfc4750237dcb3c061cdfa3856a053aa2a3c81272af544cb1d08e3dedfc7f470e81684012d0a682af6c9a879cf139f2d49c4957d5d269c1da3230f51d3e7ed904383edda87cffb83fb82829c34ce5408f5bcf6d43b19b14a9c6079cefbaf9af6c8a734f566baf4dc99c496c6312fbecdb5c94b217f3656b117d3d51620070cfd076049fcc8614952c3cbaacd592da5f2770c4d8871e65935c2b83164283b06a76d96bb910337294bc05a9afedb5676ffea982cb77868e84c52b9d0e6e6c1a8a6c8d2d79f5bfc8b105118ee5eba80b93fb98e07fcb8ba6d69f00bfe45bf885e096f7ad272321e23117af21ce832387ff80f987c83b4a1d1bb40b9204c4785615a78c3ab9b1d9aea3e2e5b28c1641acdee81656d4be38835ac3857d788e0d073d7bea68dc51084fd033e7b4715c7b876eefa5a8c80f2c78092b0be00a63ed4163f47d83ed5fb371b615db0ba142ca5bfb4be13a7d4b0debd5c2ab65e3fff5574f2a3d2b67f9af12040af9c956a0539a12647ef2dfe1e7ec9488af694ccbb899b70c2855a929d81a6965764da34f7fa659b29917d58bbb8be0c89a36cc383319f758b36e093e6f4837c5ad0b6379eafc9a71d9892e20186201e3fb11fb695a3a371f328e421823ef2307c3293e5cec48946e114c5bed2b47715b536f98358d5e32d06148e0a6f4c4fcb4676b0988d6b2378bad4b511f1f2972f7cafd88edc2c785dc164e4213b731c88c6c621b81458c80d5c4e765fd305b1f5818bf7cd416062c11d8f5b205fff694476d4e9430fcaa5d2ca1db7fdd5b4b524dc8cdca71cd999944625a66ff2ab05ccc92d270d2617bde7bf2ec49d78c9d99f0c913ce28159d0e65cf5cca55c8e0ad5dbca0796d0acac68fc7d46bf31f38c2b361676dcc3060be41b58a5f8539b011ede1e4a48f3c6cca0d2cbbe8e51bd3cca3286d5c88931bbecfda76c51f92a15aa795cf597f82f284e6395db4d132c4bd276ac17746bdca26c323e2244078c49770c355bef8ef56f0cb7ae1ef4c2e1df53b4b67577517d847b972603b8ddbe47a0261ba208e0a01b9cb0be671edb54e5bd6fa7fe9ad9f5ccc61216c068366665b7bfedac9a7411e2cfd9cef6ce6cd883440e4e8bf323911416f6bf32a5a1dd3f341b9c67210b52e3d11e11a889f813ff57360e060b0332f4fe2ff10318fb57a5066d2e713c4f68aa9c1cf391e96d60db9bc5ef2daea06f65b723d69e2bc90e15c573f885e7b288de10a10e57afd7905cd3469b91bcafdb80bde6ff8574c596c9ee383bf85ede571f2fe1204e5654005660adad199e9e85127b23a3193c2d5175d6edd0d83904e78b91c5bd27112168e990660dc4c068e3c4dcc2a6a8b14880eefdcf5d21ceb8f73869ec17d1d47be5515a12ba8ba71495232f107f4ea152e1188416e6187fc333c9fe8252feb81d5adff517c1b96bdd4ccf69e4cfe850304b2bc1c3876135719660df85944442ca2769ce3a397880492a607911e0a501cc12fbaeab9d0a52224507a6e7f551c28e",
    "Length (i)": "0x32",
    "Packet Number (8..32)": "2f5e3dec",
    "Packet Payload (8..)": "e5ad7d9e37ed9d7e8b0affefa1883a530c08049a4a5c5dbe6011136ab4980a54506d721d86572142bb88f10aa5bb7ae647c0c7840616226259034e2a92967deeb4b44d1d64a7cf493533b6ed1feb37e0a29c29b571300416beba3f65f4365efa7a5f0dd1a2233d1e4d2abbe2b7b5dbc72d1c0358311539c2f536b72735f872b0abd1d2b9c70ee9a946d2a0d93747861080582b5bf78895b10615c52bf12640e078387dbade90b9dfc4750237dcb3c061cdfa3856a053aa2a3c81272af544cb1d08e3dedfc7f470e81684012d0a682af6c9a879cf139f2d49c4957d5d269c1da3230f51d3e7ed904383edda87cffb83fb82829c34ce5408f5bcf6d43b19b14a9c6079cefbaf9af6c
