"Retry Packet": { 
  "Header Form (1)": "0x1", 
  "Fixed Bit (1)": "0x1", 
  "Long Packet Type (2)": "0x0", 
  "Unused (4)": "0xf", 
  "Version (32)": "0x00000008", 
  "Destination Connection ID Length (8)": "0xc1", 
  "Destination Connection ID (0..160)": "0xe28e481b6df9d308e0468bb673da2d7a", 
  "Source Connection ID Length (8)": "0x00", 
  "Source Connection ID (0..160)": "", 
  "Retry Token (..)": "0x000000016b3343cf709a50c4ff000022ff000021ff000020ff00001fff00001dff00001eff00001cff00001b", 
  "Retry Integrity Tag (128)": "0x50435131504351306a3a6a0a"
}
